Club,League,Country
Atlanta United,MLS,USA / Canada
Chicago Fire,MLS,USA / Canada
Colorado Rapids,MLS,USA / Canada
Columbus Crew SC,MLS,USA / Canada
D.C. United,MLS,USA / Canada
FC Cincinnati,MLS,USA / Canada
FC Dallas,MLS,USA / Canada
Houston Dynamo,MLS,USA / Canada
Impact Montréal,MLS,USA / Canada
LA Galaxy,MLS,USA / Canada
LAFC,MLS,USA / Canada
Minnesota United,MLS,USA / Canada
New England,MLS,USA / Canada
New York City FC,MLS,USA / Canada
NY Red Bulls,MLS,USA / Canada
Orlando City,MLS,USA / Canada
Philadelphia,MLS,USA / Canada
Portland Timbers,MLS,USA / Canada
Real Salt Lake,MLS,USA / Canada
Seattle Sounders,MLS,USA / Canada
SJ Earthquakes,MLS,USA / Canada
Sporting KC,MLS,USA / Canada
Toronto FC,MLS,USA / Canada
Whitecaps FC,MLS,USA / Canada
Alanyaspor,Super Lig,Turkey
Antalyaspor,Super Lig,Turkey
Başakşehir,Super Lig,Turkey
Beşiktaş,Super Lig,Turkey
Çaykur Rizespor,Super Lig,Turkey
Denizlispor,Super Lig,Turkey
Fenerbahçe,Super Lig,Turkey
Galatasaray,Super Lig,Turkey
Gazişehir Gaziantep,Super Lig,Turkey
Gençlerbirliği,Super Lig,Turkey
Göztepe,Super Lig,Turkey
Kasimpaşa,Super Lig,Turkey
Kayserispor,Super Lig,Turkey
Konyaspor,Super Lig,Turkey
MKE Ankaragücü,Super Lig,Turkey
Sivasspor,Super Lig,Turkey
Trabzonspor,Super Lig,Turkey
Yeni Malatyaspor,Super Lig,Turkey
BSC Young Boys,Raiffeisen Super League,Switzerland
FC Basel 1893,Raiffeisen Super League,Switzerland
FC Lugano,Raiffeisen Super League,Switzerland
FC Luzern,Raiffeisen Super League,Switzerland
FC Sion,Raiffeisen Super League,Switzerland
FC St. Gallen,Raiffeisen Super League,Switzerland
FC Thun,Raiffeisen Super League,Switzerland
FC Zürich,Raiffeisen Super League,Switzerland
Neuchâtel Xamax,Raiffeisen Super League,Switzerland
Servette FC,Raiffeisen Super League,Switzerland
AFC Eskilstuna,Allsvenskan,Sweden
AIK,Allsvenskan,Sweden
BK Häcken,Allsvenskan,Sweden
Djurgårdens IF,Allsvenskan,Sweden
Falkenbergs FF,Allsvenskan,Sweden
GIF Sundsvall,Allsvenskan,Sweden
Hammarby IF,Allsvenskan,Sweden
Helsingborgs IF,Allsvenskan,Sweden
IF Elfsborg,Allsvenskan,Sweden
IFK Göteborg,Allsvenskan,Sweden
IFK Norrköping,Allsvenskan,Sweden
IK Sirius,Allsvenskan,Sweden
Kalmar FF,Allsvenskan,Sweden
Malmö FF,Allsvenskan,Sweden
Örebro SK,Allsvenskan,Sweden
Östersunds FK,Allsvenskan,Sweden
AD Alcorcón,LaLiga Smartbank,Spain
Albacete BP,LaLiga Smartbank,Spain
Cádiz CF,LaLiga Smartbank,Spain
CD Lugo,LaLiga Smartbank,Spain
CD Mirandés,LaLiga Smartbank,Spain
CD Numancia,LaLiga Smartbank,Spain
CD Tenerife,LaLiga Smartbank,Spain
CF Fuenlabrada,LaLiga Smartbank,Spain
Elche CF,LaLiga Smartbank,Spain
Extremadura UD,LaLiga Smartbank,Spain
Girona FC,LaLiga Smartbank,Spain
Málaga CF,LaLiga Smartbank,Spain
R. Oviedo,LaLiga Smartbank,Spain
R. Racing C.,LaLiga Smartbank,Spain
R. Sporting,LaLiga Smartbank,Spain
R. Zaragoza,LaLiga Smartbank,Spain
Rayo Vallecano,LaLiga Smartbank,Spain
RC Deportivo,LaLiga Smartbank,Spain
SD Huesca,LaLiga Smartbank,Spain
SD Ponferradina,LaLiga Smartbank,Spain
UD Almería,LaLiga Smartbank,Spain
UD Las Palmas,LaLiga Smartbank,Spain
Athletic Club,LaLiga,Spain
Atlético Madrid,LaLiga,Spain
CA Osasuna,LaLiga,Spain
CD Leganés,LaLiga,Spain
D. Alavés,LaLiga,Spain
FC Barcelona,LaLiga,Spain
Getafe CF,LaLiga,Spain
Granada CF,LaLiga,Spain
Levante UD,LaLiga,Spain
R. Valladolid CF,LaLiga,Spain
RC Celta,LaLiga,Spain
RCD Espanyol,LaLiga,Spain
RCD Mallorca,LaLiga,Spain
Real Betis,LaLiga,Spain
Real Madrid,LaLiga,Spain
Real Sociedad,LaLiga,Spain
SD Eibar,LaLiga,Spain
Sevilla FC,LaLiga,Spain
Valencia CF,LaLiga,Spain
Villarreal CF,LaLiga,Spain
Aberdeen,Scottish Premiership,Scotland
Celtic,Scottish Premiership,Scotland
Hamilton,Scottish Premiership,Scotland
Hearts,Scottish Premiership,Scotland
Hibernian,Scottish Premiership,Scotland
Kilmarnock,Scottish Premiership,Scotland
Livingston,Scottish Premiership,Scotland
Motherwell,Scottish Premiership,Scotland
Rangers,Scottish Premiership,Scotland
Ross County,Scottish Premiership,Scotland
St. Johnstone,Scottish Premiership,Scotland
St. Mirren,Scottish Premiership,Scotland
Abha Club,Saudi Pro League,Saudi Arabia
Al Adalah,Saudi Pro League,Saudi Arabia
Al Ahli,Saudi Pro League,Saudi Arabia
Al Faisaly,Saudi Pro League,Saudi Arabia
Al Fateh,Saudi Pro League,Saudi Arabia
Al Fayha,Saudi Pro League,Saudi Arabia
Al Hazem,Saudi Pro League,Saudi Arabia
Al Hilal,Saudi Pro League,Saudi Arabia
Al Ittihad,Saudi Pro League,Saudi Arabia
Al Nassr,Saudi Pro League,Saudi Arabia
Al Raed,Saudi Pro League,Saudi Arabia
Al Shabab,Saudi Pro League,Saudi Arabia
Al Taawoun,Saudi Pro League,Saudi Arabia
Al Wehda,Saudi Pro League,Saudi Arabia
Damac FC,Saudi Pro League,Saudi Arabia
Ettifaq FC,Saudi Pro League,Saudi Arabia
Academica Clinceni,Liga I,Romania
Astra Giurgiu,Liga I,Romania
CFR Cluj,Liga I,Romania
Chindia,Liga I,Romania
CS U Craiova,Liga I,Romania
Dinamo Bucureşti,Liga I,Romania
FC Botoşani,Liga I,Romania
FC Hermannstadt,Liga I,Romania
FC Voluntari,Liga I,Romania
FCSB,Liga I,Romania
Gaz Metan,Liga I,Romania
Politehnica Iaşi,Liga I,Romania
Sepsi OSK,Liga I,Romania
Viitorul,Liga I,Romania
AEK Athens,Rest of World,
Al Ain FC,Rest of World,
CSKA Moscow,Rest of World,
Dinamo Zagreb,Rest of World,
Dynamo Kyiv,Rest of World,
HJK Helsinki,Rest of World,
Kaizer Chiefs,Rest of World,
Lokomotiv Moscow,Rest of World,
MLS All Stars ***,Rest of World,
Olympiacos CFP,Rest of World,
Orlando Pirates,Rest of World,
Panathinaikos,Rest of World,
PAOK,Rest of World,
Shakhtar Donetsk,Rest of World,
